probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
4200895,24521093,6624221,1334,1567,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,218.0,177.11111,153.33333,147.33333,146.55556,207.66667,214.88889,174.11111,159.33333,7.774787059601174,7.476633736177961,7.26990583499312,7.212698975663436,7.205114446481254,7.7050563813772435,7.7541451614834545,7.452126845950332,7.324930537282192,7.507108876924085,0.2538164955101503,7.374289934507311,0.28647724700567184,7.5104008482386595,0.22046131840774857,0.13611091373134876,0.13281894241677428,0.0032919713145744822
5717389,24521093,6624222,948,2133,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,29.88889,35.0,30.222221,27.333334,29.444445,28.88889,28.88889,28.88889,39.22222,4.949016091077759,5.169925001442312,4.9645012796081875,4.82442846778975,4.928107091560997,4.901537381573214,4.901537381573214,4.901537381573214,5.3299208552351205,5.027814124042753,0.12331493775050187,4.884690980307987,0.05385318173949158,5.04433187279385,0.24732731383508857,0.15964089248586344,0.14312314373476642,0.016517748751097017
6733944,24521093,6624223,1783,2512,PSR2200160989.hg.1,2,31342961.0,31343285.0,probeset_region,83.888885,60.0,86.111115,50.666668,45.11111,64.666664,106.666664,55.333332,59.22222,6.407503768965741,5.930737337562887,6.444784898830495,5.691161940059176,5.527042511530662,6.037089262862683,6.750427819895711,5.815916902996266,5.912224019603644,6.261008668453041,0.28663013565737194,5.751764571484173,0.260367876931492,6.1595229141652075,0.5139992421099359,0.40775834268103406,0.5092440969688674,-0.10148575428783335
1278856,24521094,6624224,495,477,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,74.0,94.0,65.111115,76.77778,64.44444,75.888885,45.22222,61.22222,70.55556,6.22881869049588,6.569855608330948,6.046820930748888,6.281286126114145,6.0321987850133105,6.264703162570771,5.53051469023991,5.959357995847494,6.160991910855191,6.281831743191906,0.26551667801751355,6.192729357899409,0.1392705901952181,5.883621532314199,0.321989736420418,-0.30910782558521,0.08910238529249703,-0.398210210877707
2181132,24521094,6624225,2291,813,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,31.333334,35.22222,40.333332,27.88889,31.11111,39.444443,38.77778,29.555555,33.666668,5.014950369834244,5.178803119025299,5.369233765283099,4.852442832753238,5.005000662015305,5.337869578278967,5.3138908065674455,4.933362796963446,5.115477270337673,5.187662418047547,0.17730777325618466,5.065104357682503,0.24823199228255563,5.120910291289522,0.19032217372338087,0.05580593360701869,0.12255806036504424,-0.06675212675802555
3424097,24521094,6624226,1736,1277,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,33.444443,46.666668,52.666668,32.11111,36.22222,39.555557,29.88889,42.11111,31.333334,5.106199332819732,5.574908874542861,5.7459544115763475,5.049243500551913,5.218092251046435,5.34182771263679,4.949016091077759,5.429987826560679,5.014950369834244,5.475687539646313,0.3312178968182584,5.203054488078379,0.14687062683411056,5.131318095824228,0.26074803608545727,-0.0717363922541514,0.2726330515679338,-0.34436944382208523
3929223,24521094,6624227,342,1466,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,35.22222,37.22222,38.0,37.22222,47.0,48.666668,29.88889,36.444443,43.88889,5.178803119025299,5.256339721263013,5.285402218862249,5.256339721263013,5.584962500721156,5.634206056676876,4.949016091077759,5.226679714416758,5.48828649493187,5.24018168638352,0.05510583988913666,5.491836092887016,0.20542672108769963,5.221327433475462,0.26967504019041133,-0.27050865941155333,-0.25165440650349513,-0.0188542529080582
5711044,24521094,6624228,2643,2130,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,40.444443,46.11111,53.77778,61.666668,48.555557,67.666664,59.0,45.555557,44.22222,5.373106759794749,5.557995440141064,5.775518857261948,5.969626380230124,5.630974947836241,6.101537973030558,5.906890595608519,5.540881484795891,5.49895995577998,5.568873685732587,0.20142647844151393,5.90071310036564,0.24273271365077123,5.64891067872813,0.22439826600035753,-0.2518024216375103,-0.3318394146330528,0.08003699299554246
6435895,24521094,6624229,1214,2401,PSR2200160990.hg.1,2,31343286.0,31343591.0,probeset_region,139.0,125.22222,129.11111,134.22223,129.77777,108.44444,137.55556,191.22223,162.22223,7.129283016944966,6.979822108373206,7.023600396657159,7.07918852362566,7.030973528782946,6.774054890552412,7.114320766040749,7.586631371980685,7.350693739056184,7.044235173991777,0.07683740185945247,6.961405647653673,0.16403170751940763,7.350548625692539,0.23615533640858838,0.38914297803886644,0.08282952633810403,0.3063134517007624
1915314,24521095,6624230,1793,714,PSR2200160991.hg.1,2,31344332.0,31345602.0,probeset_region,74.111115,129.44444,122.55556,94.888885,119.77778,87.55556,83.333336,126.22222,80.0,6.230954499969395,7.02729167291665,6.949016091077759,6.583291696719772,6.91621123371093,6.4685109401689616,6.398031117478646,6.9912068719289895,6.339850002884624,6.735754087987935,0.43891768559243505,6.656004623533221,0.23253873979129755,6.57636266409742,0.3604414627958367,-0.07964195943580066,0.07974946445471431,-0.15939142389051497
